TrialID,Distance_mm,Exposure_s,Energy_J,Energy_per_mm,DamageClass
1,50,3.476,34.8,0.696,Severe
2,50,3.665,36.6,0.732,Severe
3,50,3.355,33.6,0.672,Severe
4,50,3.382,33.8,0.676,Severe
5,50,3.302,33,0.66,Severe
6,100,3.975,39.8,0.398,Severe
7,100,3.905,39,0.39,Severe
8,100,4.168,41.7,0.417,Severe
9,100,4.125,41.2,0.412,Severe
10,100,4.228,42.3,0.423,Severe
11,150,5.029,50.3,0.335,Moderate
12,150,5.345,53.4,0.356,Moderate
13,150,5.306,53.1,0.354,Moderate
14,150,5.168,51.7,0.345,Moderate
15,150,5.376,53.8,0.359,Moderate
16,200,6.131,61.3,0.306,Moderate
17,200,6.245,62.4,0.312,Moderate
18,200,5.923,59.2,0.296,Moderate
19,200,6.311,63.1,0.316,Moderate
20,200,6.35,63.5,0.318,Moderate
21,250,7.438,74.4,0.298,Mild
22,250,7.733,77.3,0.309,Mild
23,250,7.236,72.4,0.29,Mild
24,250,7.201,72,0.288,Mild
25,250,7.551,75.5,0.302,Mild
26,300,8.337,83.4,0.278,Minimal
27,300,8.309,83.1,0.277,Minimal
28,300,8.255,82.6,0.275,Minimal
29,300,8.709,87.1,0.29,Minimal
30,300,8.269,82.7,0.276,Minimal
